,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,product_id.1,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_id.1,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,seller_id.1,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,hari,bulan,Tahun,day_month,month_Year,Year_month,day_name,hour,review_category,Recency,Monetary,Cluster,Cluster_Label
0,432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,delivered,2018-03-01 14:14:28,2018-03-01 15:10:47,2018-03-12 23:36:26,2018-03-21 00:00:00,1.0,72d3bf1d3a790f8874096fcf860e3eff,0bae85eb84b9fb3bd773911e89288d54,2018-03-07 15:10:47,38.25,16.11,1.0,credit_card,1.0,54.36,8f39f09c22b1ceb6e3eb178d8e50bb8a,4.0,No_Review_title,Gostei do produto,2018-03-13 00:00:00,2018-03-14 10:36:16,72d3bf1d3a790f8874096fcf860e3eff,toys,583.0,20.0,21.0,20.0,3df704f53d3f1d4818840b34ec672a9f,04cf8185c71090d28baa4407b2e6d600,5271,sao paulo,SP,0bae85eb84b9fb3bd773911e89288d54,88301,itajai,SP,88301,-26.892530769634728,-49.06336067112918,1,3,2018,01-03,03-2018,2018-03,Thursday,14,Positif,182,54.36,0,Slight_Inactive-Low_value
1,641fb0752bf5b5940c376b3a8bb9dc52,f5afca14dfa9dc64251cf2b45c54c363,delivered,2017-12-15 00:06:10,2017-12-15 00:14:55,2018-01-03 15:09:32,2018-01-16 00:00:00,1.0,60184212dae4e6b0da32bf54271a8c4a,b33e7c55446eabf8fe1a42d037ac7d6d,2017-12-21 00:14:55,369.0,17.33,1.0,credit_card,10.0,386.33,ffa0d9ba2678dba5fa370295245f473d,4.0,No_Review_title,"Inicialmente, pedi o cancelamento do pedido devido a falta de atualização com o produto, hoje sei que é erro do APLICATIVO e não do vendedor.",2018-01-04 00:00:00,2018-01-04 18:29:06,60184212dae4e6b0da32bf54271a8c4a,watches_gifts,394.0,17.0,11.0,14.0,f5afca14dfa9dc64251cf2b45c54c363,38cad70d154a4dcc42b598d5c01f7ef1,25211,duque de caxias,RJ,b33e7c55446eabf8fe1a42d037ac7d6d,14850,pradopolis,SP,14850,-23.58212041517534,-48.03687822833762,15,12,2017,15-12,12-2017,2017-12,Friday,0,Positif,258,386.33,2,Slight_Inactive-High_value
2,b52cc4919de82b4d696a4380d10804a3,be8c14c16a4d47194ccdfe10f1fc5b1a,delivered,2018-06-13 13:47:39,2018-06-15 02:37:29,2018-06-18 22:32:44,2018-06-26 00:00:00,1.0,7564c1759c04fc0a38f2aa84f7a370ee,6860153b69cc696d5dcfe1cdaaafcf62,2018-06-19 02:30:26,42.99,12.03,1.0,boleto,1.0,55.02,b1dafcdfcddb6feb75222b9c1f2baad3,5.0,No_Review_title,No_Review_message,2018-06-19 00:00:00,2018-06-20 11:07:14,7564c1759c04fc0a38f2aa84f7a370ee,construction_tools_construction,1200.0,16.0,11.0,11.0,be8c14c16a4d47194ccdfe10f1fc5b1a,c86a25b8f5f6c203bb3471553bdc3200,13157,cosmopolis,SP,6860153b69cc696d5dcfe1cdaaafcf62,13360,capivari,SP,13360,-21.06618090793091,-50.14438377161186,13,6,2018,13-06,06-2018,2018-06,Wednesday,13,Positif,78,55.02,0,Slight_Inactive-Low_value
3,82bce245b1c9148f8d19a55b9ff70644,388025bec8128ff20ec1a316ed4dcf02,delivered,2017-04-20 17:15:46,2017-04-21 05:15:56,2017-05-10 09:17:55,2017-05-12 00:00:00,1.0,a5a0e71a81ae65aa335e71c06261e260,c8417879a15366a17c30af34c798c332,2017-04-27 05:15:56,38.0,15.56,1.0,boleto,1.0,267.8,fd793fea4f4a2ddcc956561144b6c04e,1.0,No_Review_title,No_Review_message,2017-05-11 00:00:00,2017-05-12 11:25:49,a5a0e71a81ae65aa335e71c06261e260,housewares,705.0,34.0,22.0,28.0,388025bec8128ff20ec1a316ed4dcf02,f9effeed3df9ae063a58c0759b96f8b2,85804,cascavel,PR,c8417879a15366a17c30af34c798c332,4445,sao paulo,SP,4445,-23.58861699375101,-46.74293637623119,20,4,2017,20-04,04-2017,2017-04,Thursday,17,Negatif,496,267.8,1,Require Activation
4,634e8f4c0f6744a626f77f39770ac6aa,05e996469a2bf9559c7122b87e156724,delivered,2017-08-09 18:32:47,2017-08-09 18:45:18,2017-08-16 18:17:54,2017-08-31 00:00:00,1.0,69d980b4120a76616d7b237d731d6156,744dac408745240a2c2528fb1b6028f3,2017-08-15 18:45:18,219.0,15.28,1.0,credit_card,1.0,7.08,7b66de927426b71a817aa36df5e8a0b3,1.0,No_Review_title,Muito bom o produto e preço cobrado!,2017-08-17 00:00:00,2017-08-17 23:36:23,69d980b4120a76616d7b237d731d6156,watches_gifts,600.0,16.0,11.0,12.0,05e996469a2bf9559c7122b87e156724,5229b8e4d7d2b9b676c2083c17b1ecd0,93180,portao,RS,744dac408745240a2c2528fb1b6028f3,83408,colombo,PR,83408,-25.190375050771127,-50.81297721060446,9,8,2017,09-08,08-2017,2017-08,Wednesday,18,Negatif,385,7.08,0,Slight_Inactive-Low_value
5,6d25592267349b322799e2beb687871e,5bb39c890c91b1d26801aa19a9336eac,delivered,2018-08-26 22:04:34,2018-08-28 04:10:18,2018-08-29 12:40:53,2018-08-30 00:00:00,1.0,c3ba4e8d3cb30049213b682e751e9d00,6560211a19b47992c3666cc44a7e94c0,2018-08-30 04:10:18,93.0,7.91,1.0,boleto,1.0,201.82,914da4c2875eeb6dd3f1eba3539e73ca,4.0,No_Review_title,No_Review_message,2018-08-30 00:00:00,2018-09-03 18:26:07,c3ba4e8d3cb30049213b682e751e9d00,watches_gifts,350.0,16.0,2.0,20.0,5bb39c890c91b1d26801aa19a9336eac,a71cac9f356cfeb9db35061020806212,2407,sao paulo,SP,6560211a19b47992c3666cc44a7e94c0,5849,sao paulo,SP,5849,-23.416835932926546,-46.856015207160944,26,8,2018,26-08,08-2018,2018-08,Sunday,22,Positif,3,201.82,2,Slight_Inactive-High_value
6,a5474c0071dd5d1074e12d417078bbd0,ef15b3240b2083e0487762ee2978d2b8,delivered,2018-07-30 22:41:44,2018-08-01 02:50:15,2018-08-03 19:28:47,2018-08-02 00:00:00,1.0,1f75be631e988bb0ad750e60e18d043b,fd386aa7bed2af3c7035c65506c9b4a3,2018-08-03 02:50:15,13.99,7.39,1.0,boleto,1.0,21.38,ef45857b2a4924df76832d06cca3231d,5.0,Ótimo,Chegou antes do prazo e o produto é exatamente pedido o que eu queria,2018-08-04 00:00:00,2018-08-06 12:41:29,1f75be631e988bb0ad750e60e18d043b,health_beauty,200.0,25.0,10.0,15.0,ef15b3240b2083e0487762ee2978d2b8,0c8761c28faa9b9930e4a9bb545905da,6434,barueri,SP,fd386aa7bed2af3c7035c65506c9b4a3,4208,sao paulo,SP,4208,-23.494260143487807,-46.73844095905712,30,7,2018,30-07,07-2018,2018-07,Monday,22,Positif,30,21.38,0,Slight_Inactive-Low_value
7,0760a852e4e9d89eb77bf631eaaf1c84,d2a79636084590b7465af8ab374a8cf5,invoiced,2018-08-03 17:44:42,2018-08-07 06:15:14,2018-08-21 00:00:00,2018-08-21 00:00:00,1.0,1522589c64efd46731d3522568e5bc83,28405831a29823802aa22c084cfd0649,2018-08-13 06:15:14,35.0,15.35,1.0,boleto,1.0,50.35,c4b17a374b71539eb360fe5baaa9a10e,3.0,bolo fake,"Gostei do produto, porem fiquei preocupada não chegasse a tempo pois não foi atualizado o status da compra chegou no ultimo dia do prazo.",2018-08-25 00:00:00,2018-08-29 10:48:52,1522589c64efd46731d3522568e5bc83,christmas_supplies,550.0,37.0,10.0,37.0,d2a79636084590b7465af8ab374a8cf5,c7f8d7b1fffc946d7069574f74c39f4e,88140,santo amaro da imperatriz,SC,28405831a29823802aa22c084cfd0649,3644,sao paulo,SP,3644,-23.58925151762936,-46.6715131917883,3,8,2018,03-08,08-2018,2018-08,Friday,17,Netral,26,50.35,0,Slight_Inactive-Low_value
8,01a75ac3dd000b7628a684be97c29234,57ee2ef64f17a5f9a4bf30489b06326c,delivered,2018-01-23 10:32:39,2018-01-23 10:59:10,2018-02-07 14:59:03,2018-02-21 00:00:00,1.0,b5c114b11d53b6fd85a6a90790f0b479,0adac9fbd9a2b63cccaac4f8756c1ca8,2018-01-29 10:59:10,42.9,15.1,1.0,credit_card,5.0,58.0,c3a9c486f5d88c848407644135b9c807,1.0,No_Review_title,COMO VOU AVALIAR UM PRODUTO QUE NÃO RECEBI,2018-02-08 00:00:00,2018-02-08 21:13:41,b5c114b11d53b6fd85a6a90790f0b479,housewares,267.0,24.0,15.0,12.0,57ee2ef64f17a5f9a4bf30489b06326c,91a7366b39d3620ce44f85fa5d116896,24120,niteroi,RJ,0adac9fbd9a2b63cccaac4f8756c1ca8,13290,louveira,SP,13290,-21.76951298055716,-48.83748887596074,23,1,2018,23-01,01-2018,2018-01,Tuesday,10,Negatif,219,58.0,0,Slight_Inactive-Low_value
9,4b87488fb6269f8321508923b95da4d6,e42998ccffc48dc87bf70b37e2d61f33,delivered,2018-06-08 12:19:58,2018-06-08 12:37:01,2018-06-15 20:58:47,2018-07-05 00:00:00,1.0,ed739dfa91e2c770354726fe0bf9cc72,57df9869a600bd6b7c405f2a862eccfb,2018-06-15 12:30:36,25.0,13.47,1.0,credit_card,3.0,38.47,b4722acf07ffc2ebf10df6d3ce9089c1,5.0,No_Review_title,eu adorei... e é uma gracinha... estava doida p chegar..é um produto de otima qualidade,2018-06-16 00:00:00,2018-06-20 15:28:28,ed739dfa91e2c770354726fe0bf9cc72,housewares,250.0,22.0,5.0,14.0,e42998ccffc48dc87bf70b37e2d61f33,b2d3863477633ff42a3dad9a7dd61cda,36830,espera feliz,MG,57df9869a600bd6b7c405f2a862eccfb,37540,santa rita do sapucai,MG,37540,-20.942116857172515,-44.91243109257306,8,6,2018,08-06,06-2018,2018-06,Friday,12,Positif,83,38.47,0,Slight_Inactive-Low_value
